OC	MC
pek	_
kˤiŋ	_
tsˤuʔ	_
dˤəәn 	_
dəәʔ	_
mu	_
qanʔ	_
məәləәk	_
l̥ ˤəәn	_
kʔujʔ	_
panʔ	_
pʰa	_
sˤak	_
ŋamʔ	_
nrəәj	_
məәqum	_
nəәr	_
ŋʷˤrajʔ	_
pˤer	_
sta	_
kˤik	_
tsˤak	_
gˤorʔ 	_
gˤəәk	_
rˤiw	_
tsʰenʔ	_
tsʰrek	_
ruj	_
tewk	_
n̥ ˤar	_
ŋˤrak 	_
pˤajʔ	_
gʷˤraj 	_
tsit	_
əәgˤoʔ	_
sr̥ aʔ	_
pit	_
ŋˤaŋ	_
muk	_
ɢa	_
ɢoŋ	_
ŋˤar	_
tˤor	_
kʷˤre	_
skʷit	_
dˤuk	_
ro	_
l̥ ˤeŋ	_
qʷʰˤaj	_
ʔep	_
ɢk	_
mnerʔ	_
əәqajʔ	_
qum	_
ʔut	_
pet	_
mkˤen	_
səәdəәr	_
kʰok	_
məәrəәn	_
uk	_
prom	_
qʷˤeŋ	_
tok	_
mru	_
rəәr	_
mgˤaŋ	_
mkrəәp	_
gˤe 	_
raʔ	_
qəәmʔ	_
pʰˤan	_
tut	_
tˤo	_
əәkˤroʔ	_
qʰoŋ	_
slek	_
l̥ reŋʔ	_
mˤəәr	_
tˤaŋʔ	_
kʷˤujʔ	_
tˤek	_
kˤarʔ	_
ŋew  	_
kʰˤu	_
nəәŋ	_
sqip	_
əәmtˤoŋʔ	_
pˤəәk	_
tʰˤuj	_
qit 	_
gran	_
pajʔ	_
tra	_
tsˤok	_
qʰˤaj	_
kʷat	_
kak	_
pˤraʔ	_
gəә	_
tsrəә	_
pʰˤew	_
tˤrawk	_
dzˤuʔ	_
krəәjʔ	_
rak	_
dan	_
dzˤuj	_
tʰorʔ	_
kreŋ	_
moʔ	_
ɢʷaj	_
qʰramʔ	_
tek	_
kˤonʔ	_
srew	_
tˤok	_
ɢʷan	_
km̥  ˤik 	_
tʰaŋʔ	_
tsʰop	_
pˤrok 	_
sqʰaʔ	_
kʷʰat	_
tsʰˤret	_
tˤar	_
tojʔ	_
mbit	_
tʰawk	_
tsʰˤojʔ	_
mrəәnʔ	_
ŋret	_
guŋ	_
kʷˤaʔ 	_
qʰep	_
əәlk	_
mˤrəәŋʔ	_
gˤrəә	_
l̥ ˤaj	_
təә	_
mkˤuj	_
dzˤojʔ	_
tsk	_
tsʰin	_
kop	_
l̥ 	_
dzranʔ	_
kʰit	_
kʷʰˤaŋ	_
dzot	_
kaŋ	_
sdˤiwk	_
um	_
but	_
bˤut	_
stek	_
gʷˤen	_
r̥ ewk 	_
ɢˤonʔ	_
ŋˤəәnʔ	_
əәkəәj	_
ɦʷˤar 	_
dk	_
ŋəәʔ 	_
tsˤun	_
newk	_
qik	_
mtˤak	_
tawʔ	_
qʰˤa	_
mqaʔ	_
tsʰˤot	_
kʰap	_
m̥  ˤəәʔ	_
nuŋ	_
lˤom	_
tʰonʔ	_
gˤar 	_
kʰˤəәt	_
səәləәp	_
ʔunʔ	_
praʔ	_
ra	_
diwk	_
rˤorʔ	_
lˤiwk	_
lron	_
əәtsˤəәr	_
sar	_
nˤa	_
tsrin	_
pot	_
ewʔ	_
pˤrak	_
rˤanʔ	_
n̥ ˤar 	_
ɢk	_
mtsut	_
mpaj	_
l̥ ˤek	_
mqʰram	_
kˤop	_
əәpat	_
kˤaʔ	_
ʔuk	_
sɢaŋ	_
kʰat	_
kˤem	_
ŋrok	_
gˤran	_
lrin	_
əәgˤrut	_
əәkʰut	_
lˤet	_
skij	_
pəәk	_
dar 	_
gʷit	_
tu	_
duk	_
tkuʔ	_
nˤaŋʔ	_
dˤun	_
rˤaj 	_
qʷarʔ	_
ʔeŋ	_
əәgˤan	_
kʰəәm	_
pəәʔ	_
drat	_
lˤip	_
maʔ	_
gˤarʔ	_
tsˤoŋ	_
dzˤəәŋ	_
mtˤəәŋ	_
mɢajʔ	_
pʰrəә	_
tar	_
mpʰer	_
pur	_
srot 	_
mtseŋ	_
qˤok	_
rˤuʔ	_
ik	_
qəәŋ	_
raw	_
pʰok	_
mˤok	_
pˤrot	_
sin	_
əәbit	_
krˤen 	_
ɢʷrəәt	_
ŋʷˤat	_
kəәr	_
mnəәr	_
kʰeŋ 	_
pʰˤrew	_
mkˤrəәmʔ	_
nup	_
swar 	_
kʷˤet	_
dzaʔ	_
dzuk	_
roŋʔ	_
kəәrˤak	_
tsˤroʔ	_
dˤon	_
gˤut	_
sqʷˤəәnʔ	_
əәgˤrom	_
r̥ ˤuj 	_
dur	_
bˤaʔ	_
kaʔ	_
qorʔ	_
m̥  aŋ	_
m̥  ˤəәʔ 	_
pa	_
tsʰu	_
dzon	_
pʰar	_
sɢʷar 	_
maj	_
mrewk	_
drewʔ	_
kˤuk	_
ɢʷanʔ	_
l̥ oj 	_
gʷˤrek	_
məәtʰaŋ	_
tʰun	_
gʷˤajʔ	_
loŋ	_
ɢʷij	_
bop	_
smtaʔ	_
lˤəә	_
kʷˤa	_
ɢʷrəәp 	_
tqʰu	_
poʔ	_
m̥  ajʔ	_
tˤonʔ	_
mˤejʔ	_
drip	_
pˤok	_
qur	_
braŋ	_
mtsʰˤaŋ	_
mqa	_
ram	_
tu 	_
rˤak	_
bˤawk	_
dru	_
tem	_
skˤra	_
sreʔ 	_
primʔ	_
kʰˤremʔ	_
stem	_
m̥  ˤəәk 	_
sqar	_
par	_
əәrˤak	_
tqəәʔ	_
in	_
tʰk	_
əәnuʔ	_
mgˤraʔ	_
ɢʷˤəәŋ	_
raŋ	_
qʷʰˤat	_
kʰat	_
qʰəәr	_
kʷʰˤij	_
pʰˤok	_
ɢəәr	_
kʰəәp	_
put	_
lruk	_
səәləәʔ	_
dzranʔ 	_
gaw 	_
pəәj	_
rat	_
tlrit	_
tˤat	_
kdruj	_
raj	_
mˤəәt	_
din	_
sˤij	_
kˤroŋʔ	_
sˤe	_
sdəәʔ	_
mrˤaŋ 	_
ʔiŋ	_
lrəәj	_
qan	_
ŋˤəәnʔ	_
tsin	_
r̥ oŋʔ	_
pr̥ eŋ	_
tˤaw	_
kat	_
ɢeŋ	_
snu	_
dzran	_
tʰˤanʔ	_
lˤaw	_
sr̥ ˤaŋ	_
kˤrenʔ	_
qʰˤeŋ	_
kˤrep	_
kˤəәt	_
sɢijʔ	_
nˤarʔ	_
gar	_
tsojʔ	_
mtsˤəәʔ	_
gˤaj	_
tsʰˤaŋ	_
bˤəәn	_
ɢʷij 	_
kron	_
əәdˤeŋ 	_
kʰeʔ	_
dor	_
kˤak	_
bˤa	_
ket 	_
tsəәp 	_
tʰəәmʔ	_
pˤek	_
mtəәk	_
əәkˤawʔ	_
an	_
lˤot	_
sna	_
sləәʔ	_
ŋap	_
qʰˤu	_
rəәŋ	_
gˤraw	_
kij	_
mtˤaŋ	_
kaj	_
tsʰimʔ	_
druŋ	_
mŋeʔ	_
tˤot	_
tsəәk	_
l̥ eŋ	_
ɢʷˤəәr	_
sgijʔ	_
traʔ	_
məәrˤon	_
_	pju
_	kwo
_	thej
_	tsrean
_	ngjwe
_	jin
_	wen
_	tsyu
_	keng
_	drin
_	tshwon
_	bju
_	pwon
_	yi
_	gij
_	syo
_	ljuwng
_	dzreaj
_	sjew
_	teng
_	haem
_	dew
_	dom
_	thaw
_	keaj
_	zjow
_	pjieng
_	ku
_	dzyu
_	dri
_	tsjae
_	tshuwng
_	tsrhi
_	yuwng
_	gje
_	ba
_	leng
_	dzuwng
_	hjw+j
_	trea
_	ki
_	kaew
_	peang
_	hjwej
_	haewng
_	tshjeng
_	trin
_	nyang
_	thoj
_	mju
_	pjang
_	xwan
_	trhjuw
_	duw
_	bjuwng
_	hjwang
_	naw
_	tsjej
_	nge
_	i
_	dzyin
_	haew
_	phje
_	kae
_	syow
_	lwan
_	luw
_	zi
_	zyo
_	nuw
_	gjwang
_	jie
_	dzuw
_	nej
_	baeng
_	tem
_	gjew
_	ying
_	kwej
_	tsyhae
_	kweaj
_	kaewng
_	j+n
_	mij
_	tsij
_	ngjon
_	tsyhuw
_	khwae
_	tshwoj
_	tsyu
_	kuwng
_	lim
_	thaw
_	phji
_	kaw
_	tsyin
_	baew
_	wea
_	tsyowng
_	buw
_	bjij
_	pin
_	bju
_	dzju
_	ngjaeng
_	tsyang
_	dej
_	dzoj
_	dzrjuw
_	tsyhing
_	tsywe
_	ngu
_	nrjowng
_	gja
_	syu
_	drjo
_	trjwen
_	laj
_	heang
_	pwon
_	dij
_	khwa
_	dzjen
_	mu
_	tsraew
_	pjoj
_	sye
_	kae
_	dzyang
_	drje
_	doj
_	hom
_	xj+j
_	pej
_	sjew
_	tsaw
_	hong
_	srin
_	tsyej
_	baj
_	dzjeng
_	wang
_	pjo
_	hju
_	kwaeng
_	phen
_	keaj
_	xwang
_	tshi
_	kjuw
_	tshuw
_	ngj+j
_	khem
_	khju
_	tshen
_	thoj
_	tsaw
_	xa
_	tshjem
_	drjeng
_	xjwien
_	keng
_	srje
_	tsyi
_	ngej
_	mi
_	bjon
_	mjuw
_	pi
_	kjwe
_	nrjen
_	ljen
_	nya
_	hwin
_	hweaj
_	khweaj
_	phjuw
_	jej
_	dan
_	ljowng
_	mjaeng
_	ngim
_	han
_	sjen
_	muw
_	xjang
_	hu
_	zi
_	khjo
_	ten
_	pa
_	nga
_	drea
_	pjae
_	pjun
_	ngaw
_	kwae
_	bej
_	sywin
_	swin
_	yuw
_	dzij
_	ngweaj
_	gjem
_	yu
_	drjew
_	sjwej
_	gjwieng
_	dew
_	bjiew
_	he
_	dang
_	dzrjang
_	dej
_	tsjeng
_	dzyang
_	dzyu
_	thej
_	trhjuw
_	gju
_	pen
_	drjo
_	kea
_	bjiew
_	xjuw
_	khjen
_	hea
_	bju
_	sin
_	kaew
_	kaw
_	trhjeng
_	ken
_	srea
_	thom
_	zye
_	kwin
_	hjwang
_	ja
_	hea
_	sjew
_	bjuwng
_	mwoj
_	sying
_	xu
_	ten
_	yi
_	ngu
_	gjo
_	im
_	weaj
_	thej
_	xew
_	gjuw
_	ngwa
_	sjeng
_	drwij
_	yo
_	ban
_	mjon
_	dzyuw
_	tsrjo
_	bjen
_	tsjew
_	zje
_	gin
_	thej
_	hom
_	nrjo
_	thwa
_	dzrjo
_	sywej
_	hjwon
_	dzej
_	tsrhjo
_	syuw
_	hjwaeng
_	xij
_	haw
_	mae
_	gjie
_	khoj
_	khjij
_	yang
_	ij
_	hen
_	hen
_	huwng
_	tsju
_	gjiew
_	pj+j
_	tsa
_	haeng
_	te
_	nyem
_	law
_	thwo
_	len
_	ngjaem
_	khoj
_	xjw+j
_	ye
_	ljow
_	syuw
_	syij
_	nej
_	kea
_	neng
_	tshwin
_	tsyuw
_	xaw
_	drjuw
_	pij
_	syin
_	dzjen
_	pjoj
_	nyin
_	haem
_	drim
_	hjwo
_	khaew
_	drjew
_	i
_	tshwoj
_	soj
_	tshe
_	thej
_	tshen
_	kim
_	thwa
_	then
_	si
_	hwan
_	sang
_	kwa
_	gje
_	pwoj
_	hwoj
_	mej
_	ngjo
_	kheang
_	zjem
_	tsyi
_	mju
_	mju
_	tshjem
_	gju
_	drjen
_	xae
_	bjien
_	ma
_	lo
_	khjwieng
_	tsjuw
_	srea
_	tsyhwe
_	nowng
_	gjwo
_	nem
_	ngjuw
_	kjwej
_	ljang
_	kwa
_	dzyew
_	theng
_	tswoj
_	khoj
_	haew
_	tuw
_	li
_	ngjang
_	bj+j
_	bjun
_	ye
_	in
_	hweaj
_	kae
_	gwin
_	aew
_	thwon
_	drea
_	tew
_	sen
_	tshij
_	doj
_	bin
_	paew
_	nan
_	pjie
_	noj
_	syuw
_	naj
_	pim
_	be
_	gjew
_	tsrjang
_	kjuw
_	uw
_	haw
_	draewng
_	wen
_	kea
_	xjij
_	kjwej
_	yi
_	sij
_	dzying
_	tsrhwaej
_	srjaeng
_	hae
_	ywin
_	gjem
_	pjun
_	kaej
_	ngjwo
_	tsyi
_	ngj+n
_	keng
_	drjwe
_	nga
_	lju
_	tu
_	xan
_	na
_	drjeng
_	jiew
_	bjiej
_	xaw
_	sraew
_	pi
_	ke
_	xjon
_	dzyow
_	xae
_	tsye
_	ngen
_	xwa
_	nang
_	than
_	ngwaj
_	xi
_	ngj+j
_	den
_	oj
_	bjie
_	ba
_	bjow
_	srje
_	ngwo
_	pjem
_	ho
_	ljwe
_	tsrjuw
_	hu
_	sjuw
_	ngij
_	yuw
_	ij
_	tha
_	bjaeng
_	hea
_	dzreaj
_	pjun
_	tsrhim
_	ngaew
_	tsyi
_	jem
_	hjuw
_	xi
_	nye
_	tsje
_	de
_	gj+n
_	kjo
_	su
_	du
_	thwa
_	trhij
_	mjuw
_	nom
_	xwej
_	bjowng
_	srin
_	xjw+j
_	haew
_	bjang
_	kwo
_	ywin
_	ae
_	gjaeng
_	dri
_	de
_	new
_	xjun
_	ten
_	dzjuw
_	tsyhi
_	ywe
_	tong
_	khjwon
_	srea
_	ji
_	gjowng
_	hu
_	pjuw
_	da
_	kj+j
_	dzje
_	khjwieng
_	jowng
_	khoj
_	ngwa
_	da
_	zye
_	tsyhwej
_	bjoj
_	bju
_	yem
_	dzywin
_	phi
_	syuw
_	mjang
_	tshe
_	phu
_	maew
_	duw
_	gi
_	li
_	lom
_	trjwe
_	tsjew
_	oj
_	lan
_	i
_	lu
_	drim
_	han
_	nrij
_	swij
_	khjien
_	hwea
_	thaj
_	xij
_	tsye
_	meang
_	tam
_	mjaeng
_	lwin
_	ngae
_	dwaj
_	ngje
_	kjuw
_	ngjiej
_	hwen
_	mjien
_	sowng
_	hwea
_	ea
_	ngaew
_	drjowng
_	bjowng
_	draewng
_	syim
_	mwon
_	nge
_	thwoj
_	hae
_	pjieng
_	kuw
_	suw
_	gj+n
_	nej
_	lij
_	phjiew
_	san
_	nye
_	me
_	mwoj
_	xwon
_	nwoj
_	hwon
_	da
_	hwoj
_	khwon
_	mjien
_	saw
_	pjon
_	drje
_	kuw
_	phjien
_	gjwo
_	baj
_	kaeng
_	xwang
_	o
_	tsyhe
_	lan
_	juw
_	teng
_	a
_	drim
_	twoj
_	thuwng
_	sraew
_	khja
_	kjuw
_	zjowng
_	kaj
_	nyuwng
_	luw
_	twoj
_	syo
_	baewng
_	hu
_	ken
_	bjo
_	paj
_	tsjang
_	srjuw
_	dwon
_	se
_	han
_	phaeng
_	tsyen
_	bjon
_	drjej
_	sjow
_	pjen
_	dzyeng
_	hjuw
_	tshje
_	lim
_	kan
_	du
_	deng
_	nraen
_	jaeng
_	tshjo
_	kwaej
_	swan
_	pu
_	to
_	ngae
_	tri
_	so
_	kwae
_	sraen
_	zwij
_	kej
_	baej
_	tsi
_	ta
_	pong
_	bjie
_	kwang
_	syang
_	dzu
_	maeng
_	mjang
_	ngjen
_	drje
_	ngje
_	tsyhae
_	huw
_	bea
_	hea
_	hu
_	drae
_	drjuwng
_	srjang
_	aj
_	thoj
_	xju
_	daw
_	sej
_	hen
_	drjow
_	mwon
_	traew
_	tse
_	swij
_	huw
_	tsyim
_	aew
_	dzyang
_	xjwie
_	ae
_	ji
_	bea
_	ljuw
_	haewng
_	zyow
_	hwen
_	tshe
_	trjen
_	tsrhea
_	dan
_	uw
_	yowng
_	mjiew
_	tsyhem
_	kjwie
_	tse
_	ju
_	nrje
_	xjang
_	hi
_	hweng
_	mae
_	dzwa
_	kwa
_	trjen
_	downg
_	tsjo
_	tswin
_	tri
_	ljeng
_	me
_	nraew
_	kjwa
_	gje
_	jaeng
_	drjuw
_	drin
_	tsyhij
_	dem
_	jwe
_	zje
_	syim
_	tsrea
_	syin
_	hom
_	lo
_	dzyij
_	pang
_	tang
_	kuwng
_	kju
_	sri
_	kam
_	jie
_	phjowng
_	hwaen
_	dzyuw
_	tsrja
_	baw
_	kang
_	hwae
_	kjwo
_	zjae
_	tsoj
_	maej
_	bje
_	phjuwng
_	nri
_	gje
_	kej
_	xan
_	hwea
_	mjie
_	bwoj
_	xwoj
_	jw+j
_	ngjo
_	thwan
_	sje
_	tom
_	bjuw
_	tsan
_	an
_	dzong
_	dzywij
_	hjuwng
_	dreang
_	mo
_	khi
_	ngaem
_	zim
_	hjw+j
_	sjem
_	paewng
_	sywij
_	gjem
_	dzin
_	hjwaeng
_	ku
_	srju
_	dzyen
_	tsrjuw
_	khuw
_	tsyhin
_	bjij
_	drjo
_	sye
_	sjuw
_	zjang
_	khom
_	en
_	tsuw
_	bwoj
_	i
_	khaew
_	drim
_	dzyen
_	hem
_	kaw
_	tsyij
_	trjo
_	mwoj
_	trjeng
_	toj
_	gjae
_	tsjem
_	lu
_	yuw
_	dzjowng
_	trhaeng
_	kwaen
_	gjwien
_	wae
_	nyew
_	tshje
_	xwan
_	su
_	kae
_	dzin
_	xje
_	kwe
_	ka
_	ngwoj
_	trjwen
_	syen
_	kjej
_	oj
_	khuw
_	nyen
_	tuw
_	dwo
_	tsyang
_	kon
_	mjij
_	lang
_	trjuw
_	tsye
_	buw
_	hwaen
_	kjun
_	dzyin
_	tsa
_	haew
_	kjwo
_	tsream
_	lim
_	syi
_	dzyo
_	hwin
_	gjuw
_	tshwon
_	ka
_	srean
_	kea
_	heng
_	low
_	srjwen
_	zwin
_	a
_	tan
_	hon
_	mjin
_	yem
_	be
_	zi
_	tsaw
_	khwang
_	zying
_	draew
_	dzyen
_	yow
_	kj+j
_	mjieng
_	pan
_	tsej
_	haj
_	syej
_	drwij
_	koj
_	pj+j
_	drje
_	dwa
_	doj
_	tsaw
_	kweaj
_	ngjow
_	ngej
_	nwo
_	kwoj
_	trje
_	dzrae
_	bwoj
_	syi
_	tsyen
_	two
_	tha
_	trjowng
_	kae
_	xjw+j
_	trim
_	ngu
_	drju
_	bju
_	kjuw
_	dzan
_	gjuw
_	them
_	tsraew
_	treang
_	trjang
_	kae
_	mwoj
_	the
_	kjuw
_	yi
_	nyuw
_	tsrhaew
_	dan
_	dom
_	hwij
_	khe
_	tha
_	dzen
_	trij
_	kwae
_	khjwie
_	tsye
_	pje
_	xjow
_	ba
_	trhi
_	tsha
_	swan
_	trwae
_	xwea
_	khaw
_	hjen
_	lwij
_	kae
_	tsraew
_	mwoj
_	sjuw
_	tsjowng
_	khwe
_	mij
_	kwang
_	tew
_	kheng
_	yuwng
_	maw
_	tsywij
_	daj
_	tsying
_	gje
_	xan
_	ywij
_	hej
_	maew
_	yo
_	phu
_	dzrjo
_	paen
_	tsye
_	sjae
_	phjie
_	men
_	tshom
_	yin
_	hjw+j
_	pjun
_	towng
_	xen
_	xjwij
_	kjwij
_	ying
_	tho
_	mjang
_	dzye
_	syuw
_	than
_	bjang
_	man
_	me
_	nraew
_	syuw
_	mjaeng
_	sij
_	kae
_	trij
_	tsrhi
_	lew
_	syae
_	srjo
_	gjen
_	kjiw
_	kjw+j
_	kaew
_	trhaej
_	dej
_	xjo
_	lij
_	sjuw
_	ywi
_	tshjwej
_	san
_	saw
_	mjun
_	khu
_	tsrhjang
_	hu
_	mju
_	om
_	keam
_	tsing
_	ja
_	dzej
_	dzjem
_	kjwien
_	hjun
_	beng
_	drij
_	tsrwea
_	zri
_	jwon
_	sye
_	yo
_	tem
_	dzyij
_	thom
_	tsi
_	dej
_	paew
_	puwng
_	se
_	mjiej
_	won
_	dew
_	bjuw
_	hae
_	the
_	khuwng
_	tsyowng
_	hwoj
_	gj+j
_	dej
_	dzu
_	jem
_	kjaeng
_	mjien
_	pha
_	lej
_	khwe
_	tsowng
_	xjang
_	tshja
_	sjeng
_	ha
_	syang
_	mj+j
_	khweng
_	pi
_	tsyin
_	pa
_	ljej
_	bjin
_	jon
_	tsrhim
_	jon
_	tsyuw
_	pow
_	khj+j
_	hwen
_	kwan
_	meng
_	suwng
_	yim
_	kej
_	kea
_	pjij
_	uw
_	pij
_	trin
_	nyim
_	kea
_	srea
_	yen
_	zyin
_	kjo
_	kjo
_	nyim
_	tsyae
_	bang
_	ku
_	trjuwng
_	zwij
_	xjem
_	j+n
_	trhwin
_	kew
_	tsyhu
_	xan
_	gi
_	trhin
_	ngjo
_	kjuwng
_	li
_	khuw
_	ljuw
_	ywe
_	the
_	srwi
_	dzyae
_	xen
_	dzjeng
_	trhwi
_	tow
_	huwng
_	xwong
_	tsej
_	sje
_	bwoj
_	khi
_	syi
_	kju
_	sye
_	gjieng
_	hwaen
_	ea
_	kj+n
_	thwaj
_	tsyhwij
_	pjie
_	keam
_	ang
_	dzom
_	ngae
_	khang
_	sjwen
_	lwoj
_	tsi
_	dzej
_	tsrea
_	tsu
_	aew
_	xi
_	swij
_	mj+j
_	hwae
_	tej
_	paen
_	khjo
_	xjo
_	dzyej
_	tsyowng
_	nyu
_	mea
_	sju
_	ku
_	tshjem
_	nyo
_	kha
_	kjwen
_	kjin
_	ban
_	hwan
_	ham
_	pea
_	dzyuw
_	bjang
_	maen
_	trhjuw
_	hwoj
_	ban
_	nyi
_	lwa
_	ngen
_	kwong
_	mjew
_	dzyim
_	ngae
_	khjaeng
_	mej
_	dzyi
_	li
_	pjem
_	baewng
_	drja
_	khu
_	trhje
_	pjien
_	xwoj
_	hwea
_	min
_	ban
_	dzrae
_	keang
_	heaj
_	ngang
_	dzje
_	phjowng
_	dzrjang
_	tsywen
_	yi
