OC	MC
dzˤraw	dzraew
tsʰrewʔ	tsrhaew
tqʰA	tsyhae
dret	drje
mtʰret	drje
mtʰret	drje
mtʰret	drje
Nəәqʰˤak 	trhaek
tʰret	trhje
tʰret	trhje
tʰret	trhje
tʰin	tsyhin
Cdrəәm 	drim
drəәm 	drim
drəәm	drim
drəәm	drim
drəәn	drin
lrin	drin
dəәm	dzyim
tɢum	dzyim
tɢum	dzyim
dəәr	dzyin
dəәr	dzyin
giŋ	dzyin
səәdəәr	zyin
tʰˤraŋ	trhaen
tkʰreŋ	trhjen
tkʰreŋ	trhjen
tʰəәŋ	tsyhin
mtˤaŋ	draen
mtˤaŋ	draen
dˤrəәŋ	drean
drəәŋ	drin
mtrəәŋ	drin
lreŋ	drjen
leŋ	drjen
lreŋ	drjen
mtəәŋ	dzyin
mtəәŋ	dzyin
deŋ	dzyen
deŋ	dzyen
deŋ	dzyen
deŋ	dzyen
mdeŋ	dzyen
Cəәləәŋ	zyin
mləәŋ 	zyin
l̥ reŋʔ	trhjen
r̥ eŋʔ	trhjen
məәtʰəәŋ	tsyhin
qʰrəәj 	trhij
r̥ aj	trhje
r̥ aj	trhje
r̥ aj 	trhje
tʰij	tsyhij
Clrəә	dri
drəә	dri
drij	drij
drij	drij
ləәj	drij
ləәj	drij
Cəәlraj	drje
dre	drje
lraj	drje
lre	drje
l̥ ajʔ	sye
n̥ rəәʔ	trhi
tkʰəәʔ 	tsyhi
tl̥ Ajʔ	tsyhae
tl̥ ajʔ	tsyhe
tl̥ ajʔ	tsyhe
tʰAk	tsyhek
skʰe	sye
r̥ əәk	trhik
tʰəәk	tsyhi
tqʰAk	tsyhek
tqʰAk	tsyhek
tʰAk	tsyhek
tʰAk	tsyhek
druŋ	drjuwn
stoŋ	syown
stoŋ	syown
qʰˤoŋ	trhaewn
tʰruŋ	trhjuwn
tʰoŋ	tsyhown
tʰuŋ	tsyhuwn
mtroŋ	drjown
Clruŋ	drjuwn
dzuŋ	dzrjuwn
r̥ oŋʔ	trhjown
l̥ ru	trhjuw
r̥ iw	trhjuw
driw	drjuw
driw	drjuw
dru	drjuw
dru	drjuw
dru	drjuw
dru	drjuw
dzriw	dzrjuw
du	dzyuw
n̥ ruʔ	trhjuw
n̥ uʔ	trhjuw
n̥ uʔ	trhjuw
tqʰuʔ	tsyhuw
tqʰuʔ	tsyhuw
tqʰu	tsyhuw
qʰu	xjuw
tsʰra	tsrhjo
tkʰut	tsyhwi
la	drjo
dro	drju
dro	drju
sla	dzrjo
sla	dzrjo
sla	dzrjo
tsʰro	tsrhju
sr̥ aʔ	tsrhjo
sr̥ aʔ	tsrhjo
sr̥ aʔ	tsrhjo
tqʰaʔ	tsyho
tqʰaʔ	tsyho
tʰrok	trhjowk
qʰuk	trhjuw
qʰuk	trhjuwk
qʰuk	trhjuwk
qʰuk	trhjuwk
tkʰut	trhwi
tqʰaʔ	tsyho
tʰok	tsyhowk
tʰuk	tsyhuwk
stʰorʔ	tsrhjwe
tsʰrot	tsrhwaej
tsʰrot	tsrhweaj
tl̥ un 	tsyhwen
tl̥ un 	tsyhwen
tʰon	tsyhwen
lron	drjwen
mtron	drjwen
dor	dzywen
Cəәlon	zywen
tʰonʔ	tsyhwen
tʰorʔ	tsyhwen
sl̥ ˤoŋ	tsrhaewn
sl̥ ˤoŋ	tsrhaewn
sl̥ ˤoŋ	tsrhaewn
tsʰraŋ	tsrhjan
tsʰraŋ	tsrhjan
Ntˤoŋ	draewn
dˤroŋ	draewn
kdzraŋ	dzrjan
tsʰraŋ	tsrhjan
tʰor	tsyhwe
mtoj	drjwe
kdruj	drwij
doj	dzywe
tojʔ	tsywe
tʰor	tsyhwe
tkʰut	tsyhwij
l̥ run	trhwin
l̥ run	trhwin
tʰun	tsyhwin
dun	dzywin
dun	dzywin
dur	dzywin
dur	dzywin
dur	dzywin
dur	dzywin
səәdur	zywin
səәdur	zywin
tʰrak	trhjak
trot	trjwe
trot	trjwe
tˤrot	trwae
tʰawk	tsyhak
tʰot	tsyhwe
tʰot	tsyhwe
tsʰraj	tsrhje
Ntsəә	dzi
dzij	dzij
səәləә	zi
səәləә	zi
səәləә	zi
tsʰeʔ	tshje
tsʰeʔ	tshje
slek	sje
sn̥ ij	tshij
sn̥ ij	tshij
tsʰek	tshje
tsʰek	tshje
tsʰek	tshjek
tsʰˤoŋ	tshuwn
sl̥ ˤoŋ	tshuwn
dzoŋ	dzjown
dzˤoŋ	dzuwn
tsʰˤoʔ	tshuw
Nəәr̥ ˤa	tshu
dzˤa	dzu
tsʰok	tshjowk
tsʰˤon	tshwan
dzˤuj	dzwoj
sr̥ ˤruj	tshwoj
stʰˤuj	tshwoj
sr̥ ˤuj	tshwoj
tsʰroj	tsrhjwe
dzup	dzwij
tsʰot	tshjwej
tsʰot	tshjwej
tsʰop	tshjwej
tsʰop	tshjwej
tsʰot	tshjwe
tsʰˤut	tshwoj
tsʰˤut	tshwoj
tsʰˤut	tshwoj
tsʰˤut	tshwoj
tsʰop	tsrhjwej
tsʰop	tsrhjwej
dzˤəәn	dzwon
tsʰˤunʔ	tshwon
tsʰˤunʔ	tshwon
tsʰˤun	tshwon
tsʰˤaj	tsha
tsʰˤaj	tsha
tsʰˤot	tshwa
Ntsˤaj	dza
tsʰˤarʔ	tsha
tsʰˤojʔ	tshwa
tsʰˤak	tshak
tsʰˤak	tshu
tsʰˤoj	tshwa
lˤat	da
tˤat	ta
tˤup	to
tˤəәp	to
lˤat 	da
lˤat	daj
lˤat	daj
dˤəәʔ	doj
lˤəәʔ	doj
lˤəәʔ	doj
lˤəәʔ	doj
lˤəәʔ	doj
lˤəәʔ	doj
Cəәlˤəәk	doj
lˤəәk	doj
mrˤəәp	doj
mrˤəәp	doj
Ctˤat	taj
l̥ ˤəәk	thoj
Cəәtˤəәk	toj
məәtˤam	tam
məәtˤam	tam
Cəәtˤar	tan
tˤar	tan
tˤan	tan
tqˤəәm	tom
tˤamʔ	tam
tˤanʔ	tan
tˤanʔ	tan
tˤanʔ	tan
lˤamʔ	dam
lˤamʔ	dam
lˤamʔ	dam
mrˤamʔ	dam
mrˤamʔ	dam
mrˤamʔ	dam
dˤanʔ	dan
dˤar	dan
mrˤumʔ	dom
rˤomʔ	dom
rˤomʔ	dom
tˤam	tam
məәtˤam	tam
tˤan	tan
tˤaŋ	tan
tˤaŋʔ	tan
Nrˤaŋʔ	dan
lˤaŋʔ	dan
lˤaŋ	dan
lˤaŋ	dan
tˤaŋ	tan
Ctˤaw	taw
lˤuʔ	daw
lˤuʔ	daw
tˤuʔ	taw
tˤawʔ	taw
tˤuʔ	taw
tˤuʔ	taw
kəәlˤuʔ	daw
lˤuʔ	daw
dˤaw	daw
dˤawk	daw
dˤuk	daw
tˤawk	taw
tˤawʔ	taw
tˤəәk	tok
tˤəәk	tok
ktˤəәŋ	ton
ktˤəәŋ	ton
ktˤəәŋ	ton
tˤəәŋ	ton
tˤəәŋ	ton
tˤəәŋʔ	ton
tˤij	tej
dˤek	dek
lˤek	dek
lˤewk	dek
lˤewk	dek
lˤiwk	dek
lˤiwk	dek
tˤek	tek
tˤek	tek
tˤijʔ	tej
tˤijʔ	tej
tˤijʔ	tej
lˤeʔ	dej
lˤəәjʔ	dej
lˤəәjʔ	dej
Nrˤəәp	dej
dˤet	dej
dˤet	dej
lˤet	dej
lˤəәjʔ	dej
lˤəәj	dej
lˤej	dij
tˤek	tej
tlˤewk	tek
tˤin	ten
tˤemʔ	tem
tˤemʔ	tem
tˤəәrʔ	ten
lˤimʔ	dem
lˤimʔ	dem
Ntˤen	den
Ntˤəәn	den
lˤin	den
lˤiŋ	den
lˤiŋ	den
lˤiŋ	den
mtˤen	den
tˤemʔ	tem
tˤim	tem
tˤem	tem
tˤemʔ	tem
tˤemʔ	tem
tˤəәn	ten
tˤəәn	ten
tˤiw	tew
tˤiw	tew
tˤiw	tew
tˤiwk	tek
tˤewk	tew
tˤewk	tew
lˤit	de
lˤip	de
lˤep	de
dˤet	de
dˤit	de
lˤit	de
tˤip	te
tˤeŋ	ten
tˤeŋ	ten
tˤeŋ	ten
tˤeŋʔ	ten
tˤeŋʔ	ten
Ntˤeŋ	den
mtˤeŋ	den
tˤeŋ	ten
tˤeŋ	ten
tˤuŋ	town
tˤoŋ 	tuwn
Cəәmtˤoŋʔ	duwn
tˤoŋ	tuwn
tˤo	tuw
tˤoʔ	tuw
Ntˤo	duw
dˤok	duw
kəәdˤok	duw
lˤok	duw
tˤok	tuw
tˤok	tuw
tˤa	tu
dˤuk	dowk
dˤuk	dowk
mdˤuk	dowk
Clˤok	duwk
dˤok	duwk
lˤok	duwk
lˤok	duwk
lˤok	duwk
sˤuk	sowk
tˤuk	towk
tˤuk	towk
məәtˤaʔ	tu
tˤaʔ	tu
tˤaʔ	tu
tˤaʔ	tu
tˤaʔ	tu
mtˤaʔ	du
dˤak	du
dˤak	du
tˤak	tu
tˤak	tu
tˤak	tu
tˤor	twan
tˤor	twan
tˤorʔ	twan
Ntˤonʔ	dwan
tˤonʔ	twan
tˤon	twan
tˤonʔ	twan
Ctˤuj	twoj
Ctˤuj	twoj
tˤur 	twoj
drup	drwij
lˤot	dwaj
lˤot	dwaj
lˤut	dwoj
tut	trwij
tˤup	twoj
tˤur	twon
tˤur	twon
lˤunʔ	dwon
lˤunʔ	dwon
lˤunʔ	dwon
lˤunʔ	dwon
lˤunʔ	dwon
lˤunʔ	dwon
tlˤaj	ta
tˤut	two
dˤak	dak
lˤak	dak
Cəәlˤot	dwa
tot	trjwe
tˤot	twa
lˤajʔ  	da
lˤojʔ	dwa
lˤojʔ	dwa
qˤaj	a
ʔˤa 	a
ŋˤar	nga
ŋˤaj	nga
Cŋˤrak 	ngaek
mqʷʰˤaj	ngwa
mqʷʰˤaj	ngwa
mqʷʰˤaj	ngwa
ʔˤak	ak
ʔˤak	ak
qˤat	a
qˤat	a
ʔˤat	a
qˤik	eak
qˤik	eak
qˤik	eak
qˤik	eak
qˤik	eak
qˤik	eak
ŋˤaj	nga
Nqʰˤak	ngak
ŋˤak	ngak
ŋˤak	ngak
ŋˤak	ngak
ʔˤəәn	on
nəә	nyi
ŋe	nye
nˤəәrʔ	nej
Cnəәʔ	nyi
nəәʔ	nyi
Cnəә	nyi
nəәrʔ	nye
nəәrʔ	nye
nəәrʔ	nye
nəәrʔ	nye
nij	nyij
nij	nyij
Cəәpat	pjo
bop	bjo
bat	bjo
mpat	bjo
pkap	pjo
pkap	pjo
pot	pjo
pʰar	phjon
par	pjon
par	pjon
bron	bjen
brom	bjom
ban	bjon
bar	bjon
bar	bjon
bar	bjon
bˤranʔ	baen
Cəәpanʔ	pjon
Cəәpanʔ	pjon
bomʔ	bjom
bomʔ	bjom
mpʰomʔ	bjom
bonʔ	bjon
bonʔ	bjon
bum	bjuwn
pʰom	phjom
pʰaŋ	phjan
Cpaŋ	pjan
paŋ	pjan
paŋ	pjan
paŋ	pjan
CəәNpaŋ	bjan
baŋ	bjan
baŋ	bjan
mpaŋ	bjan
pʰaŋ	phjan
pˤaŋ	pan
pʰaŋʔ	phjan
pʰaŋʔ	phjan
pʰaŋ	phjan
paŋʔ	pjan
paŋʔ	pjan
paŋʔ	pjan
paŋʔ	pjan
paŋ	pjan
paŋ	pjan
pʰəәj	phj+j
Cəәpəәr 	pj+j
pəәj	pj+j
pəәj	pj+j
bəәr	bj+j
pʰəәjʔ	phj+j
pəәj	pj+j
pəәjʔ	pj+j
pəәjʔ	pj+j
pəәjʔ	pj+j
Cəәbot	bjoj
pʰut	phj+j
pʰut	phj+j
pʰot	phjoj
pʰut	phju
Nəәput	pj+j
put	pj+j
pkap	pjoj
pat	pjoj
pot	pjoj
pəәr	pjun
pur	pjun
pəәn	pjun
bun	bjun
bur	bjun
məәpəәnʔ	pjun
burʔ	bjun
mpəәn	bjun
pəәr 	pjun
pur	pjun
pʰoŋ	phjown
pʰoŋ	phjown
pʰoŋ	phjown
pʰoŋ	phjown
pʰoŋ	phjown
pʰoŋ 	phjuwn
poŋ	pjown
prəәm	pjuwn
boŋ oŋ)	bjown
Cboŋ	bjown
pomʔ 	pjown
mpʰoŋʔ	bjown
Cboŋ	bjown
pʰoŋʔ	phjown
pʰuŋ	phjuwn
prəәm	pjuwn
prəәm	pjuwn
puʔ	pjuw
pəәʔ	pjuw
pʰa	phju
pʰa	phju
pa	pju
pra	pju
but	bj+j
bok	bjowk
bo	bju
ba	bju
ba	bju
mpa	bju
mpa	bju
but	bju
but	bju
mput	bju
bu	bjuw
bu	bjuw
mbu	bjuw
bəәk	bjuw
bəәk	bjuwk
bəәk	bjuwk
bəәk	bjuwk
bəәk	bjuwk
bəәk	bjuwk
bəәk	bjuwk
bəәk	bjuwk
bəәk	bjuwk
bˤəәk 	bok
pʰut	phju
pʰut	phju
pʰut	phju
pʰut	phju
pʰut	phju
pəәk	pik
put	pju
put	pju
put	pju
put	pju
put	pju
pəәk	pjuwk
pəәk	pjuwk
pəәk	pjuwk
pəәk	pjuwk
baʔ	bju
boʔ	bju
pʰaʔ	phju
paʔ	pju
paʔ	pju
paʔ	pju
paʔ	pju
paʔ	pju
paʔ	pju
poʔ	pju
praʔ	pju
bak	bjak
Npaʔ	bju
Npoʔ	bju
ba	bju
buʔ	bjuw
bəәʔ	bjuw
bəәʔ	bjuw
məәbəәʔ 	bjuw
Npruk	bjuw
mpuk	bjuwk
mpuk	bjuwk
mpuk	bjuwk
pˤrəәk	peak
pʰrəәk	phik
pʰok	phju
pʰuk	phjuw
pʰəәk	phjuw
pʰuk	phjuwk
pa	pju
pa	pju
pa	pju
po	pju
pəәk	pjuw
puk	pjuwk
puk	pjuwk
kˤəә	koj
Cqˤəәʔ	koj
Cqˤəәʔ	koj
kˤap	kaj
kˤat	kaj
kˤat	ka
kˤəәt	koj
kˤəәt	koj
kˤam	kam
kˤar	kan
kˤar	kan
kˤar	kan
kˤar	kan
kˤar	kan
kˤar	kan
kˤar	kan
kˤar	kan
skˤar	kan
kˤamʔ	kam
kˤarʔ	kan
kˤarʔ	kan
kˤarʔ	kan
kˤəәmʔ	kom
kˤar	kan
kˤar	kan
komʔ	kom
kˤom	kom
Ckˤaŋ	kan
kŋˤaŋ	kan
kˤaŋ	kan
kˤaŋ	kan
Cəәkˤaw	kaw
Cəәkˤaw	kaw
kˤu	kaw
kˤu	kaw
kˤaw	kaw
Cəәkˤawʔ	kaw
kˤuk	kaw
kˤuk	kaw
kˤuk	kowk
kˤuk	kowk
kˤaj	ka
Cqˤak	kak
Cəәkˤat	ka
kˤəәp 	ko
kʷˤaj	kwa
kˤrak	kaek
kˤrak	kaek
Ckˤak	kak
kˤat	ka
Cqˤik	keak
kˤrek	keak
kˤrəәk	keak
kˤrəәk	keak
kˤəәp	kea
kˤop	ko
kˤəәp	ko
kˤop	ko
kˤar	ka
kˤar	ka
kˤar	ka
kˤak	kak
kˤəәr	kon
kˤəәŋ	kon
kˤraŋ	kaen
kˤraŋ	kaen
kˤraŋ	kaen
kˤeŋ	kean
kˤraŋʔ	kaen
kˤreŋʔ	kean
kˤraŋ	kaen
koŋ	kjown
koŋ	kjown
koŋ	kjown
koŋ	kjown
kuŋ	kjuwn
kuŋ	kjuwn
kuŋ	kjuwn
kʷəәŋ	kjuwn
Cqˤoŋ	kuwn
Cqˤoŋ	kuwn
kˤoŋ	kuwn
kˤoŋ	kuwn
kˤoŋ	kuwn
kˤoŋ	kuwn
kʷˤraŋ	kwaen
kʷˤəәŋ	kwon
kʷˤəәŋ	kwon
koŋʔ	kjown
koŋʔ	kjown
koŋʔ	kjown
koŋʔ	kjown
koŋʔ	kjown
koŋʔ	kjown
Nkoŋʔ	gjown
kˤom 	kuwn
kˤom 	kuwn
kˤo	kuw
kˤo	kuw
kˤo	kuw
kˤo	kuw
Cəәkˤroʔ	kuw
kˤoʔ	kuw
kˤok	kuw
kˤok	kuw
kˤo	kuw
kˤo	kuw
kˤo	kuw
kˤo	kuw
qʰˤo	xuw
kʷˤa	ku
kʷˤa	ku
kʷˤa	ku
kˤa	ku
məәkˤa	ku
Cqˤaʔ	ku
Cəәkʷˤaʔ	ku
Cəәkʷˤaʔ	ku
kˤaʔ	ku
kˤaʔ	ku
kˤaʔ	ku
kˤaʔ	ku
kʷˤaʔ	ku
kˤaʔ	ku
Cqˤok	kuwk
kˤok	kuwk
kˤok	kuwk
kʷˤəәt	kwo
kˤut	kwo
Cqʷˤa	ku
kʷˤaʔ 	ku
kˤa	ku
kˤa	ku
kˤaʔ	ku
kˤa	ku
kˤaʔ	ku
kˤroj	kwae
kʷˤra	kwae
kʷˤrat	kwae
kʷˤat 	kwa
kʷˤrit	kwea
Ckʷˤraʔ	kwae
kʷˤrajʔ	kwae
kʷˤre	kwea
kʷˤre	kwea
kʷˤre	kwea
kʷˤrəәj	kweaj
kʷˤret	kwaej
kʷˤrəә	kweaj
kˤron	kwaen
kˤron	kwaen
kˤron	kwaen
kʷˤran	kwaen
Cqʷˤar	kwan
kʔˤor	kwan
kʷˤan	kwan
kʷˤan	kwan
kʷˤrəәn	kwean
kʷˤrəәn	kwean
krˤun 	kwean
kˤonʔ	kwan
kˤonʔ	kwan
kʷˤanʔ	kwan
kʷˤanʔ	kwan
kʷˤanʔ	kwan
kˤonʔ	kwan
kˤron	kwaen
kˤron	kwaen
kˤron	kwaen
kˤon	kwan
Cqʷˤar	kwan
Cqʷˤar	kwan
Cqʷˤar	kwan
Cqʷˤar	kwan
Cqʷˤar	kwan
kˤor	kwan
kʔˤor	kwan
kˤon	kwan
kʷˤaŋ	kwan
kʷˤaŋʔ	kwan
kʷˤaŋʔ	kwan
kʷəә	kjuw
kʷəәj	kjw+j
Cqʷaj	kjwe
kʷe	kjwie
kʷˤe	kwej
kʷrəә	kwij
kˤuj	kwoj
kʔujʔ	kjw+j
kojʔ	kjwe
kʷijʔ	kjwij
kʷruʔ	kwij
kʷruʔ	kwij
gojʔ	gjwe
gruj	gwij
gruj	gwij
kuj	kjw+j
Cqʷat	kjwej
kot	kjwej
kˤop	kwaj
kˤop	kwaj
Cəәkʷˤaj	kwa
kʷˤaj	kwa
kʷˤak	kwak
kʷˤrak	kwaek
Cqʷˤəәk	kweak
Cqʷˤəәk	kwok
kˤorʔ	kwa
kˤorʔ 	kwa
skˤorʔ	kwa
kʷˤak	kwak
kʷˤaj	kwa
gˤra	hae
gˤrəә	heaj
gˤəә	hoj
m̥  ˤəәʔ 	xoj
Nkˤat	haj
mkˤat	haj
gˤrəәʔ	heaj
gˤəәʔ	hoj
gˤam	ham
gˤam	ham
Cəәgˤan	han
gˤan	han
gˤar	han
Cəәmkˤəәm	hom
Cəәmkˤəәm	hom
Cəәmkˤəәm	hom
Cəәmkˤəәm	hom
gˤom	hom
Cəәmkˤəәm	hom
qʰˤarʔ	xan
qʰˤarʔ	xan
gˤarʔ	han
Cəәgˤar	han
gˤar 	han
gˤar	han
gˤar	han
mkˤar	han
mkˤar	han
mkˤar	han
ɢˤəәmʔ	hom
Nkˤəәmʔ	hom
ɢʷˤrarʔ	hwaen
n̥ ˤarʔ	xan
ŋ̊ ˤarʔ	xan
qʰˤarʔ	xan
n̥ ˤar 	xan
ŋ̊ ˤar	xan
gˤaŋ	han
mgˤaŋ	han
qʰˤaw	xaw
qʰˤu	xaw
qʰˤu	xaw
Cgˤaw	haw
gˤaw	haw
gˤaw	haw
Cəәgˤaw	haw
qʰˤuʔ	xaw
gˤuʔ	haw
gˤaw	haw
qʰˤaw	xaw
qʰˤuʔ	xaw
qʰˤaj	xa
qʰˤaj	xa
qʰˤəәp	xo
Cgˤaj	ha
gˤaj	ha
gˤaj	ha
mkˤap	ha
mkˤap	ha
gˤat	ha
gˤəәk	heak
gˤrəәk 	heak
gˤəәk	hoj
gˤəәk	hok
mkˤop	ho
mqˤəәt	ho
ɢˤoj	hwa
ɢˤoj	hwa
gˤajʔ	ha
mkˤaj	ha
gˤrawk	haewk
gˤrawk	haewk
gˤawk	hak
ɢˤat	ha
gˤawk	howk
ɢˤoj	hwa
qʰˤak	xaek
qʰˤrak	xaek
qʰˤak	xak
m̥  ˤəәk 	xok
mqˤəәn	hon
qʰˤraŋ	xaen
gˤraŋ	haen
gˤraŋ	haen
gˤəәŋ	hon
Cgʷˤraŋ	hwaen
m̥  ˤəәŋ	xwon
gˤoŋ	huwn
gˤoŋ	huwn
mkˤoŋ	huwn
gʷˤəәŋ	hwean
ɢʷˤəәŋ	hwon
gˤoŋ	huwn
gˤo	huw
gˤo	huw
gˤo	huw
məәgˤo	huw
gˤo	huw
Cəәgˤoʔ	huw
ɢˤoʔ	huw
ɢˤoʔ	huw
gˤo	huw
gˤro	huw
ɢˤoʔ	huw
ɢˤa	hu
ɢˤa	hu
m̥  ˤa	xu
qʰˤa	xu
qʰˤra 	xu
m̥  ˤut	xwo
m̥  ˤut	xwo
m̥  ˤut	xwo
Cəәgˤa 	hu
gˤa	hu
gʷˤa	hu
gʷˤa	hu
gˤa	hu
gˤa	hu
gˤa	hu
