kor	wuu
hwɛtɑp	xxuɤtʰätɕʰ
hwɛlo	xxuɤlu
kwɛ	kʰxuɤ
kʰwɛ	kʰxuä
kʰwɛlɑk	kʰxuälotɕʰ
hɛwaŋsʌŋ	xɤxxuäänɕin
hɛwɛ	xɤŋä
hɛku	xɤkʰxɤu
hɛsu	xɤsr
hɛton	xɤtən
hɛpʰjo	xɤpʰäu
hɛjaŋ	xɤxxiɛn
hɛtɛ	xɤtʰä
hwɛ	xuɤ
hwɛsɛk	xuɤsɤtɕʰ
hwɛtɕin	xuɤtsən
kɛkwan	kʰxɤkʰuoɤ
kɛsi	kʰxɤsr
kɛsi	kʰxɤ
kɛsim	kʰxɤsɹ̩n
kɛtɕʌm	kʰxɤtʰi
kɛpoŋ	kʰxɤfon
kɛhɑk	kʰxɤ
wɛ	ŋä
wɛsɛŋ	ŋäsän
wɛtɕopu	ŋätʰsuvu
wɛtɕomo	ŋätʰsumu
wɛtɕi	ŋäti
wɛmjʌn	ŋämi
wɛkuk	ŋäkʰotɕʰ
wɛkukin	ŋäkʰotɕʰnin
hɛso	kʰxɤtɕʰsɤu
hɛsu	kʰxɤtɕʰsɤu
hɛ	xxɤ
kɛ	kʰɤ
kɑto	kʰätäu
kɑk	kʰotɕʰ
kjʌk	kʰätɕʰ
hɛk	xxɤtɕʰ
kɑk	kʰotɕʰ
kɑk	kʰotɕʰ
kjʌk	kʰätɕʰ
hjʌk	kʰätɕʰ
hjʌkmjʌŋ	kʰɤtɕʰmin
ɑkpu	ŋotɕʰvu
ɛk	_
lip	_
hɑl	_
hɑl	_
hwaltoŋ	_
kolkjɛ	_
tɕuk	_
wato	_
kʌn	_
kʌntɕʌntɕi	_
kwan	_
kwansɑ	_
hɑnlo	_
wantɕʌn	_
kwan	_
kɑn	_
kɑnsʌn	_
kɑnpu	_
kɑm	_
kɑmɯn	_
kɑmsɑ	_
kɑmtɕʌŋ	_
kɑmtoŋ	_
kɑmmo	_
kɑmkɑk	_
hwan	_
kwan	_
kwantɕɛ	_
hɑn	_
hɑn	_
hɑnʌ	_
hɑntɕɑ	_
hɑnsʌŋ	_
hɑnin	_
hɑntɕok	_
hwan	_
hwankjʌŋ	_
kɑmlɑm	_
kɑm	_
kɑmok	_
kɑnho	_
kwan	_
kwanli	_
kɑn	_
kɑnjʌm	_
kɑnɑm	_
kɑntɕɑŋ	_
hɑm	_
kwan	_
kɑn	_
hɑn	_
kwan	_
hwan	_
wanku	_
ɑm	_
ɑn	_
ɑnkjʌŋ	_
ɑnkwaŋ	_
ɑntɕʌŋ	_
ɑnjak	_
wʌn	_
kiʌp	_
wi	_
wihʌm	_
ki	_
ki	_
kitok	_
kipon	_
hɰimɑŋ	_
ki	_
kitɕʰi	_
ki	_
ki	_
kitɕʰɑ	_
kisʌn	_
kjɛtɕʌl	_
ki	_
hwi	_
kju	_
ki	_
kiʌk	_
kitɕɑ	_
kisʌŋ	_
kitɕɑŋ	_
kilok	_
kwi	_
ki	_
kikoŋ	_
kilip	_
kwɛto	_
kwi	_
kinjʌ	_
kikoŋ	_
kikjo	_
kisul	_
ɰi	_
ɰisim	_
ɰi	_
ɰitɕɑ	_
kukhwa	_
kilsɑŋ	_
kjul	_
kɛk	_
kɛkki	_
jʌkpʰuŋ	_
hjusik	_
kɯp	_
hɯpkwan	_
kuŋ	_
kɯp	_
ku	_
kukjʌŋ	_
kuŋ	_
kɯptɕɑŋ	_
u	_
uju	_
uju	_
kʌnjʌn	_
kʌjʌn	_
hʌ	_
ʌsi	_
kjʌŋ	_
koŋ	_
koŋhwa	_
koŋhwakuk	_
kjʌŋ	_
koŋpʰo	_
koŋljoŋ	_
hwaŋ	_
hɯŋ	_
kjʌŋtɕʰip	_
ʌp	_
kuk	_
kok	_
kɯk	_
ok	_
kɯn	_
kʌn	_
kʌnkuk	_
kɯn	_
kɯm	_
kɯmpo	_
kɯn	_
kɯm	_
kɯmsʌŋ	_
kɯmjuŋ	_
kɯmpɑl	_
ɯn	_
ɯnhɛŋ	_
ɯnhɑ	_
ɯnhɛŋ	_
ɯntɕɑ	_
ku	_
kuwʌl	_
kusip	_
ku	_
kwi	_
kokwa	_
kohɛ	_
koŋ	_
koŋhɑŋ	_
koŋsu	_
koŋtɕi	_
koŋki	_
usɑŋ	_
kul	_
hwa	_
sɑŋjʌp	_
kun	_
kuntɕɑ	_
kuntɕu	_
kun	_
kun	_
kunin	_
kuntɛ	_
kun	_
kɑsɑ	_
hjʌŋ	_
hjʌŋpʌp	_
hjʌŋtɕɛ	_
hjʌŋ	_
hjʌŋ	_
hjɛɑn	_
kjʌŋ	_
kjʌŋtɕʰi	_
kjɛhwa	_
kjɛ	_
kjɛ	_
kjʌŋwiwʌn	_
kjʌŋtɕʰɑl	_
jʌŋtɕʰunhwa	_
kjʌŋʌ	_
kɯk	_
hjʌŋ	_
hɯm	_
kjʌl	_
hjʌl	_
kjʌl	_
kjʌlhon	_
hjʌllo	_
wʌl	_
wʌlkwaŋ	_
wʌltɕʰo	_
wʌltɕuŋ	_
wʌlkjʌŋ	_
kʌn	_
kʌnkɑŋ	_
kʌnkuk	_
hʌnpʌp	_
kjʌnkɑp	_
hjʌn	_
wʌn	_
wʌnso	_
wʌnsotɕʌl	_
wʌnhjʌŋ	_
wʌnsi	_
wʌntɕɑ	_
wʌnljaŋ	_
hwan	_
hjʌn	_
kɑmkɑ	_
hjʌnson	_
hjʌnsonnjʌ	_
hjʌn	_
hjʌnkɯm	_
hjʌntɕɛ	_
hjʌnsɛ	_
hjʌntɛ	_
kɛin	_
kotɛ	_
hohɯp	_
ki	_
ko	_
kopɑŋ	_
ho	_
ko	_
kopʌm	_
ho	_
honɑm	_
holi	_
hoto	_
ko	_
hokɯm	_
hopoŋ	_
hotɕʰo	_
hoku	_
kokɛk	_
komun	_
ko	_
o	_
owʌl	_
ohɛŋ	_
otɕi	_
osip	_
oɑk	_
otɕɑŋljukpu	_
otɕʌm	_
hosɑŋ	_
o	_
o	_
hu	_
husɛŋ	_
hutɕʰʌn	_
hutu	_
huil	_
hunjʌn	_
humjʌn	_
otoŋ	_
ʌ	_
ʌpʌp	_
hotɕo	_
kjotʰoŋ	_
hu	_
hu	_
kwaŋ	_
kwaŋsʌn	_
kwaŋlim	_
koŋ	_
koŋɑn	_
koŋɑn	_
koŋwʌn	_
koŋkɛ	_
koŋkoŋ	_
koŋtɕɑ	_
koŋtɕu	_
koŋjʌn	_
koŋmin	_
koŋlo	_
koŋ	_
ku	_
ku	_
kuɯm	_
kukjʌl	_
kutɕʌn	_
hjaŋ	_
hu	_
kɛŋ	_
koŋtɕɑ	_
koŋtɕɑk	_
hjo	_
hjotɕɑ	_
koŋku	_
koŋtɕɑk	_
koŋtɕʰɑŋ	_
koŋtɕɑŋ	_
koŋin	_
koŋjɛ	_
kjo	_
hɑŋ	_
hɛŋ	_
hɛŋpok	_
kjʌŋ	_
ku	_
koŋkjʌk	_
kjo	_
kjotɕɑŋ	_
kɑŋ	_
kɑŋho	_
kɑŋtoŋ	_
kɑŋnɑm	_
hoŋsu	_
hɑŋ	_
hɑŋku	_
kɑptɕɑ	_
hwaŋtɕɛ	_
hoŋ	_
hoŋhwa	_
hoŋok	_
hoŋkun	_
hoŋsɛk	_
hoŋtɕʰɑ	_
hoŋtɑŋ	_
kjʌŋtɕʌn	_
ko	_
kosi	_
ko	_
hwaŋnjʌn	_
hɛŋ	_
hɛŋkʌ	_
hɛŋsʌ	_
hɛŋli	_
kɑŋ	_
kɑŋtɛ	_
kɑŋ	_
kɑŋpʰil	_
kɑŋ	_
kɑŋlim	_
hɑŋ	_
hjaŋ	_
hjaŋjʌn	_
hjaŋhwa	_
hjaŋtɕʰɛ	_
hjaŋtɕʰok	_
hjaŋsu	_
hjaŋki	_
hjaŋlo	_
ko	_
kohjʌlɑp	_
kotɕo	_
kotɕomo	_
kotɕo	_
kotɕʌ	_
kopoŋ	_
koljʌ	_
hɑp	_
hɑptɕɑk	_
hɑpsɑn	_
hɑptɕʰɑŋ	_
hɑptoŋ	_
hokʌl	_
kɑk	_
kosi	_
koso	_
koku	_
ok	_
kol	_
tɕʰɑ	_
tɕʰɑtɕi	_
kɯmtɕo	_
kɯmnjʌn	_
kon	_
kon	_
honin	_
hɑn	_
kontɕʰuŋ	_
kɯn	_
hon	_
tɕwa	_
tɕwasu	_
tɕwapjʌn	_
tɕʰɑ	_
sɑ	_
tɕwa	_
tɕwa	_
tɕɛhwɛ	_
tɕʰwɛkɯn	_
tɕʰʌ	_
tɕʰʌtɕɑ	_
tɕɛ	_
sʌ	_
tɕɛ	_
sɛu	_
tɕʰɛ	_
tɕʰɛto	_
tɕɛ	_
tɕɛ	_
tɕwɛ	_
tɕɛsin	_
tɕɑk	_
tɕɑkkjʌŋ	_
tɕɑksɑ	_
tɕɑkmun	_
tɕɑkljo	_
tɕɑk	_
tɕɑkil	_
tɕʰɛk	_
tɕʰɛk	_
sɑm	_
sɑmwʌl	_
sɑmsip	_
sɑmsin	_
sɑmljuntɕʰɑ	_
sɑmkuk	_
sɑn	_
sɑnu	_
sɑntɕʌŋ	_
sɑnpoŋ	_
sɑnjaŋ	_
sɑnjak	_
sɑn	_
sɑnpo	_
sɑnho	_
sɑn	_
sɑn	_
tɕʰɑm	_
sɑ	_
sɑjoŋ	_
tɕɑkjʌk	_
sɑ	_
sɑ	_
sɑsi	_
sɑtɕɑ	_
sɑkjɛ	_
sɑwʌl	_
sɑsip	_
sɑ	_
sɑpjʌŋ	_
sitɕoŋ	_
tɕɑ	_
tɕɑɯm	_
si	_
sitɕɑŋ	_
sɑ	_
sɑpu	_
sɑpu	_
sɑsɑŋ	_
tɕi	_
tɕikɑp	_
tɕitɕʰul	_
sipi	_
sɑ	_
sɑmɑŋ	_
sɑtɕɑ	_
sɑ	_
sɑsɛŋtɕɑ	_
tɕɑ	_
tɕɑsɛk	_
tɕipun	_
tɕipɑŋ	_
tɕi	_
sikɑk	_
sɑ	_
si	_
sikɑ	_
siku	_
simun	_
sihɑk	_
sikwʌn	_
sihʌm	_
tɕɑ	_
tɕɑpon	_
tɕɑljo	_
sɑ	_
sɑkʌn	_
sɑko	_
sɑtɕʌŋ	_
sɑsil	_
sɑtɕʰɛ	_
tɕɑ	_
tɕɑtɕʌn	_
tɕɑmo	_
si	_
sikɑn	_
sitɕoŋ	_
sitɛ	_
tɕʰɑ	_
tɕɑmi	_
tɕʰiljo	_
tɕʰi	_
tɕɑtɕʰʌl	_
siwi	_
tɕɑ	_
tɕɑkɑ	_
tɕɑɑ	_
tɕɑki	_
tɕɑhɛŋkʌ	_
tɕɑsɑl	_
tɕɑsin	_
tɕɑjʌn	_
tɕɑmjʌŋtɕoŋ	_
tɕɑju	_
tɕɑjusitɕɑŋ	_
sik	_
tɕʰil	_
_	tɕʰitɕʰxxjtɕʰ
_	tɕʰitɕʰtsɤtɕʰ
_	sɤtɕʰ
_	sɤtɕʰli
_	sɤtɕʰ
_	tɕʰitɕʰ
_	ɕɕitɕʰ
_	ɕɕitɕʰpin
_	tʰsɤtɕʰ
_	tʰsɤtɕʰliɛn
_	tʰsɤtɕʰtʰi
_	tʰsrmotɕiɛn
_	so
_	somi
_	tʰsr
_	tso
_	tsoxxuɤ
_	tʰsɤ
_	tɕj
_	tʰʂokʰɤ
_	tʰʂofi
_	tʰʂopʰxiäu
_	xxiä
_	ɕɕiätɕʰi
_	tsotɕʰ
_	tʰʂätɕʰ
_	ɕitɕʰ
_	ɕitɕʰpotɕʰ
_	tsätɕʰ
_	tʰsr
_	tʰsrɻ̩
_	tʰsrkʰätɕʰ
_	tʰsrni
_	tʰsrkʰxätɕʰ
_	tʰsrtsɤtɕʰ
_	tʰsrnin
_	tʰsrɕɕitɕʰ
_	tʰsrtsən
_	tʰsrɻ̩äu
_	sɤu
_	sɤuxxin
_	sɤutɕin
_	sɤukʰuɤtɕʰ
_	sɤutʰsr
_	sɤutsɤtɕʰ
_	sɤutʰsään
_	sɤupʰɤ
_	sɤufontɕtɕin
_	sɤufätɕʰ
_	sɤuvən
_	tʰson
_	tʰsontʰsr
_	tʰson
_	tɕiɤ̞utɕiä
_	tɕiɤ̞usr
_	tɕiɤ̞utʰsäu
_	tɕiɤ̞utʰi
_	tɕiɤ̞upʰɤ
_	sɤu
_	sɤuxxuɤ
_	sɤusɤtɕʰ
_	sɤutʰu
_	tsrkʰä
_	ɕɕɤu
_	tsrsäu
_	tsrpi
_	ɕj
_	ɕiäu
_	tʰson
_	tʰsɤu
_	ɕiɤ̞utäuxxjoɤ
_	tʰsɤu
_	ɕiɤ̞utsɤ
_	tɕʰiɤ̞u
_	tɕʰiɤ̞utʰxi
_	tɕʰiɤ̞ufən
_	tʰson
_	tʰsɤu
_	tʰʂɤu
_	tsrtsätɕʰ
_	tʰʂonti
_	tsɤtɕʰ
_	tsɤtɕʰitɕʰxxjtɕʰ
_	tsɤtɕʰxxjtɕʰ
_	tsɤtɕʰnixxjtɕʰ
_	tsɤtɕʰfən
_	tsɤtɕʰvɤ
_	tʰsɤtɕʰ
_	tsontsoɤ
_	tsonɕin
_	tsoniäu
_	tsonxiɛntɕitɕʰ
_	tsonxiɛntɕitɕʰ
_	sotɕʰsotɕʰ
_	sotɕʰvu
_	tsotɕʰnjj
_	tʰsotɕʰ
_	tʰotɕʰ
_	sotɕʰ
_	tsotɕʰsɤu
_	tʰʂɤtɕʰtɕʰi
_	tʰʂɤtɕʰmätɕʰ
_	tʰʂɤtɕʰlu
_	tʰʂənxxiätɕʰiɤ̞utʰon
_	tʰʂənɕitɕʰ
_	tʰʂənfən
_	tʰsən
_	tʰsənpɤ
_	ɕɕin
_	tsənfon
_	tʰʂu
_	tʰʂuxxiä
_	su
_	sui
_	suxxiɤ̞u
_	srtɕʰi
_	srɕin
_	srtʰi
_	srtäu
_	srfätɕʰ
_	tʰsr
_	njj
_	njjtsən
_	njjɕin
_	njjɕi
_	ɕɕj
_	tsrɕɕitɕʰ
_	säänɕin
_	säänfon
_	sən
_	ɕɕiɛnnin
_	sən
_	sään
_	säännitɕʰ
_	säännin
_	sääntʰi
_	säänpʰiäu
_	säänpʰxin
_	säänliɛn
_	tʰʂään
_	tʰʂäänkʰu
_	tɕʰitɕʰ
_	tʰʂääntɕi
_	ɕiäu
_	ɕiäutɕiä
_	ɕiäuxxj
_	ɕiäukʰu
_	ɕiäuxxoɤ
_	ɕiäusr
_	ɕiäunin
_	ɕiäuɕitɕʰ
_	ɕiäuɕiotɕʰ
_	ɕiäutsän
_	ɕiäupi
_	ɕiäulu
_	ɕiäuxxotɕʰ
_	ɕiäumoɤ
_	ɕiäusɤtɕʰ
_	tsään
_	tʰʂäu
_	sontʰsr
_	sontsr
_	tʰsäännäu
_	ɕiäuɕitɕʰ
_	tʰsäumin
_	tʰsäuxxuɤ
_	sän
_	tʰsään
_	tsään
_	tson
_	ɕɕiɛn
_	ɕɕiɛnŋä
_	tʰson
_	tsään
_	tsäänkʰxätɕʰ
_	tsääntʰʂo
_	tsääntʰi
_	tsäänpʰoəni
_	tsäänmi
_	tsäänxxotɕʰ
_	tsän
_	tsäännin
_	tsänfu
_	tsänmm
_	tsən
_	tsən
_	tsəntsr
_	tsənxxuään
_	tsän
_	ɕɕin
_	tsän
_	tʰsən
_	tsɤtɕʰvɤtɕʰ
_	tʰsotɕʰ
_	tʰsotɕʰtɤ
_	tʰsɤtɕʰ
_	tʰsɤtɕʰnitɕʰ
_	sɤtɕʰ
_	tsɤtɕʰtʰsr
_	tsɤtɕʰtään
_	tsɤtɕʰxxion
_	tsɤtɕʰliäu
_	tsɤtɕʰ
_	ɕin
_	ɕin'njɛn
_	ɕinɕitɕʰ
_	ɕintsən
_	ɕinvotɕʰ
_	ɕinxxion
_	ɕin
_	ɕintsään
_	ɕin
_	ɕin
_	ɕintʰxiti
_	ɕinvu
_	sənlin
_	tʰsəntʰsr
_	sən
_	tsən
_	tsəntsən
_	tsənɕɕiɛn
_	tsənvu
_	tsənxxo
_	tsənxxiätɕʰ
_	tsəntɕin
_	ɕɕinsrxxuään
_	tsən
_	tɕʰintɕjoɤ
_	sənpʰi
_	səntʰxi
_	ɕin
_	tɕinxo
_	tʰsən
_	tʰsən
_	nin
_	ninkʰä
_	tsəntɕi
_	tsənkʰxɤu
_	tsəntsr
_	tsənsən
_	tsəntsäu
_	nintʰson
_	tsənmin
_	tsənlɤ
_	tsənlɤxxiätɕʰ
_	tsən
_	tsən
_	tsəntʰsrxxj
_	tsən
_	sr
_	srnin
_	srtʰʂo
_	srɕin
_	srtʰʂäu
_	srtsotɕʰkʰuoɤ
_	srti
_	srtäu
_	srpʰxäu
_	srmitɕʰtäu
_	srlɤ
_	tʰʂən
_	sr
_	srkʰä
_	srtɕi
_	srtɤ
_	mɤu
_	tsr
_	sr
_	srlitɕʰ
_	ɕin
_	ɕintsr
_	ɕinmin
_	ɕin
_	ɕinkʰätɕʰ
_	ɕinkʰäu
_	ɕintʰsɤtɕʰ
_	ɕinpitɕʰ
_	tsənnjj
_	tsənkʰon
_	tʰsəntsr
_	tʰsəntsrxxiätɕʰ
_	tʰsənfu
_	tʰsəntʰään
_	tʰsənɕɕi
_	ɕin
_	ɕintɕʰi
_	ɕintsu
_	ɕinsotɕʰ
_	ɕinɕin
_	tʰsən
_	tʰsənxxjtɕʰ
_	tʰsənsɤtɕʰ
_	tʰsəntʰson
_	tʰsəntsän
_	tʰsənvään
_	tʰsənɕiä
_	sän
_	säni
_	sənxxiotɕʰ
_	sänxxuɤtɕʰ
_	säntɕʰitɕʰ
_	sän
_	sänton
_	sännitɕʰ
_	sänpin
_	sənvɤtɕʰ
_	sənmin
_	sänli
_	säntɕʰi
_	säntɕiɛn
_	tɕin
_	tɕintʰsr
_	tɕintsən
_	tɕinniotɕʰ
_	tɕintson
_	sən
_	səntsən
_	səntɤ
_	səntʰɤ
_	səntʰɤtɕitɕʰ
_	səntɕin
_	ɕi
_	ɕitʰxi
_	tɕʰin
_	tɕʰinmən
_	tʰsätɕʰ
_	tʰɤ
_	tsätɕʰin
_	tsätɕʰtʰsr
_	tsätɕʰpʰɤ
_	tsätɕʰxxiɤ̞u
_	tsätɕʰliɤ̞u
_	tɕitɕʰ
_	ɕɕitɕʰ
_	tɕitɕʰtsr
_	tɕitɕʰtsoɤ
_	tʰsɤtɕʰ
_	tʰʂätɕʰ
_	tʰʂätɕʰtäu
_	sɤtɕʰtɕi
_	sɤtɕʰpɤ
_	tɕitɕʰ
_	tɕitɕʰnitɕʰ
_	tɕitɕʰtɕʰi
_	ɕitɕʰxo
_	tsɤtɕʰtʰxɤ
_	ɕi
_	ɕinintʰsään
_	ɕiŋotɕʰ
_	ɕi
_	ɕisän
_	ɕipʰɤ
_	tɕʰi
_	tɕʰilitɕin
_	tɕʰivɤ
_	ɕitʰsr
_	soɤtʰsr
_	ɕitʰʂo
_	tɕi
_	ɕɕifon
_	ɕi
_	ɕɕi
_	ɕɕitɤu
_	ɕɕinitɕʰ
_	ɕɕini
_	ɕɕimi
_	tsoɤ
_	ɕɕi
_	tsoɤxxɤu
_	ɕɕi
_	ɕɕisr
_	ɕɕitʰxi
_	ɕɕipu
_	tʰsəntʰsu
_	tʰsəntʰsumu
_	tʰsənsən
_	tʰsənsənnjj
_	tʰʂu
_	tʰsutʰson
_	tʰsuvu
_	tʰsumu
_	tʰsukʰotɕʰ
_	tʰʂu
_	su
_	tʰsu
_	tʰsutʰsɤtɕʰ
_	tʰsutʰsän
_	sən
_	tʰʂääntɕi
_	tʰʂäänsr
_	tʰʂääntsäu
_	tʰʂäänkʰxu
_	tsən
_	ɕiɛn
_	ɕiɛnnjɤ̞
_	tʰsäutsən
_	tɕʰiɛn
_	ɕiɛn
_	ɕiɛnsr
_	ɕiɛnɕin
_	ɕiɛnpʰxotɕʰ
_	ɕiɛntʰän
_	tʰʂäu
_	tʰʂäuotɕʰ
_	tʰʂäutʰsr
_	tʰʂäuti
_	tʰʂäutɤu
_	tʰsɤu
_	tʰsɤulu
_	säänkʰään
_	ɕɕiɛn
_	tʰsɤtɕʰ
_	ɕitɕʰ
_	sotɕʰ
_	tʰsotɕʰ
_	tsotɕʰ
_	tsɤtɕʰ
_	tsotɕʰ
_	tʰsɤtɕʰ
_	tɕtɕitʰxä
_	tɕtɕitsɤtɕʰ
_	tsənɕin
_	sən
_	səntsr
_	sənnjj
_	tʰsənɕin
_	tʰʂən
_	tʰʂəntʰsän
_	tʰä
_	tʰusäu
_	tʰxä
_	tʰxätɕitɕʰ
_	tʰxäkʰxon
_	tʰxäpin
_	tʰxäxxiɛn
_	tʰän
_	tʰänsoɤ
_	tʰäntsr
_	tu
_	tʰxɤtu
_	tʰɤsən
_	tʰxä
_	tʰxɤtɕʰi
_	tʰxɤ
_	tɤ
_	tɤxxu
_	tɤ
_	tɤpʰiäu
_	tuxxj
_	täkʰä
_	täkʰu
_	täxxoɤ
_	täɕin
_	täsr
_	tätsən
_	tusr
_	täɕitɕʰ
_	tutʰxɤ
_	täɕiotɕʰ
_	tätsän
_	tätsän
_	täsoɤ
_	täpi
_	täiätɕʰ
_	täxxiɤ̞u
_	tälotɕʰ
_	tätʰsään
_	täxxotɕʰ
_	tuɕiä
_	täxxo
_	tiitɕʰ
_	ti
_	tʰɤ
_	tsən
_	kʰotɕʰ
_	tʰɤ
_	tɤ
_	tʰxɤ
_	tʰoɤ
_	tʰoɤɕɕiɤ̞u
_	tʰoɤfätɕʰ
_	tʰoɤ
_	tɤpätɕʰ
_	tɤpätɕʰtʰsɤtɕʰ
_	tʰoɤli
_	noɤvään
_	toɤ
_	noɤ
_	noɤtʰsr
_	noɤɕin
_	tʰsr
_	tʰsrɻ̩n
_	tʰsrsɤtɕʰ
_	titɕiɤ̞u
_	titʰsr
_	titʰsən
_	titoɤ
_	tipin
_	tipʰɤ
_	tipi
_	tifään
_	timin
_	titɕʰj
_	titu
_	titʰxitɕʰ
_	tʰsr
_	tʰsrtʰʂr
_	tsrtään
_	tʰsrtʰsr
_	tʰsrtʰsrmään
_	tʰʂotɕʰsään
_	tso
_	tsotɕj
_	tsosɤtɕʰ
_	tsosr
_	tsopɤ
_	tʰson
_	tʰsoni
_	tʰsoniɛn
_	tʰsontʰsr
_	tʰsontɕʰiɤ̞utɕʰitɕʰ
_	tʰsonsr
_	tʰsonnin
_	tʰsontäu
_	tʰsonfon
_	tʰsonvən
_	tʰsonlu
_	tʰsonkʰotɕʰnjj
