kor	wuu
hwasɑn	hv̩ʷse̞
hwatɕʰɑ	hv̩ʷt͡sʰo
hwasʌŋ	hv̩ʷɕɪɲ
hwadʑɑŋdʑɑŋ	hv̩ʷt͡sɑ̃z̥ã
hwaɾo	hv̩ʷlv̩ʷ
hwajak	hv̩ʷɦia̱ʔ
hwawʌn	hoɦyø
hwaɡɑp	hot͡ɕia̱ʔ
hwadʑɑŋ	hoz̥iã
hwasim	hoɕɪɲ
hwadʑo	hoʔn̠ʲɔ
hwabun	hofəɲ
hwaɾju	holiɜ
hwaɾosu	holv̩ʷsz̩
hwatɕʰo	hot͡ɕiɔ
hwapʰɑn	hob̥e̞
kɑdʑɑ	ɡ̊a̱t͡sz̩
hɑwa	ɦv̩ʷho
hwaɡjo	ɦod̥͡ʑiɔ
kwa	kʰv̩ʷ
hwasɛk	hv̩ʷsəʔ
hwapʰɛ	hv̩ʷb̥i
kwadʑʌl	kv̩ʷt͡ɕi̯ɪʔ
ɑʌ	ŋv̩ʷn̠ʲy
ɑɾɑsɑ	ŋv̩ʷlv̩ʷsz̩
ɑdʑɑ	ŋa̱t͡sz
ɑtɕʰi	ŋa̱t͡sʰz
hɛ	ɡ̊a̱
hɛbɑŋ	t͡ɕia̱fɑ̃
hɛbɑŋɡun	t͡ɕia̱fɑ̃t͡ɕʏɲ
hwɛ	ɦɯe
hwɛdɑp	ɦɯeta̱ʔ
hwɛɾo	ɦɯelv̩ʷ
kwɛ	kʰɯe
kʰwɛ	kʰɯa̱
kʰwɛɾɑk	kʰɯa̱lʊʔ
hɛwaŋsʌŋ	heɦɯɑ̃ɕɪɲ
hɛwɛ	heŋa̱
hɛɡu	hekʰɜ
hɛsu	hesz
hɛdon	hed̥əɲ
hɛpʰjo	hzpɔ
hɛjaŋ	heɦiã
hɛdɛ	heta̱
hwɛ	hɯe
hwɛsɛk	hɯesəʔ
hwɛdʑin	hɯez̥əɲ
kɛɡwan	kʰekv̩ʷø
kɛsi	kʰesz
kɛsi	kʰez̥z
kɛsim	kʰe̞sɪɲ
kɛboŋ	kʰefʊŋ
wɛ	ŋa̱
wɛsɛŋ	ŋa̱sã
wɛdʑobu	ŋa̱t͡sv̩ʷv̥v̩ʷ
wɛdʑomo	ŋa̱t͡sv̩ʷmv̩ʷ
wɛdʑi	ŋa̱d̥i
wɛmjʌn	ŋa̱mi
wɛɡuk	ŋa̱kʊʔ
wɛɡuɡin	ŋa̱kʊʔn̠ʲɪɲ
hɛso	kʰəʔsɜ
hɛsu	kʰəʔsɜ
hɛ	ɦe
kɛ	ke
kɑdo	ka̱d̥ɔ
kɑk	kʊʔ
kjʌk	ka̱ʔ
kɑk	kʊʔ
kɑk	kʊʔ
kjʌk	ka̱ʔ
hjʌŋmjʌŋ	kəʔmɪɲ
ɑkp*u	ŋʊʔv̥v̩ʷ
ɛk	ŋa̱ʔ
lip	li̯ɪʔ
hɑl	kəʔ
hɑl	həʔ
hwaldoŋ	ɦɯə̯ʔd̥ʊŋ
kolɡjɛ	ɦɯa̱ʔt͡ɕi
tɕuk	t͡sʊʔ
wado	ŋotɔ
kʌn	d̥͡ʑi
kʌndʑʌndʑi	kød̥iz̥z̩
kwan	kv̩ʷø
kwansɑ	kv̩ʷøz̥z̩
hɑllo	ɦølv̩ʷ
wandʑʌn	ɦv̩ʷøʑ̥i
kwan	kv̩ʷø
kɑn	kø
kɑnsʌn	køɕi
kɑmbu	køb̥v̩ʷ
kɑm	kø
kɑmɯn	køəɲ
